name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
等离子装甲护盾（词缀·隐藏）,astd_affix_plasma_armor_shield,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixPlasmaArmorShieldHullMod,内部用途：赏金词缀 M-14。护盾命中按装甲公式折算减免。,等离子装甲护盾（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
极化护盾发生器（词缀·隐藏）,astd_affix_polarized_shield,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixPolarizedShieldHullMod,内部用途：赏金词缀 S-04。护盾减伤，过载时间延长。,极化护盾（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
P空间深潜器（词缀·隐藏）,astd_affix_pspace_diver,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixPSpaceDiverHullMod,内部用途：赏金词缀 M-11。抑制相位硬辐能降速。仅相位舰。,P空间深潜器（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
反应式辐能装甲（词缀·隐藏）,astd_affix_reactive_flux_armor,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixReactiveFluxArmorHullMod,内部用途：赏金词缀 M-10。排辐期间减伤，排辐速率下降。,反应辐能装甲（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
递归式目标定位系统（词缀·隐藏）,astd_affix_recursive_targeting,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixRecursiveTargetingHullMod,内部用途：赏金词缀 M-09。按友舰数量提升射程与弹速（编队光环）。,递归目标定位（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
奇点驱动（词缀·隐藏）,astd_affix_singularity_drive,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixSingularityDriveHullMod,内部用途：赏金词缀 R-17。峰值巨幅延长，武器辐耗降低，子系统“奇点爆发”。,奇点驱动（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
蜂群协同网络（词缀·隐藏）,astd_affix_swarm_coordination,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixSwarmCoordinationHullMod,内部用途：赏金词缀 M-13。按全自动友舰数量提供减伤与射速（编队光环）。,蜂群协同（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
弧光先进火控,astd_arc_advanced_fire_control,2,1,ARC,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.arc.ASTDArcAdvancedFireControlHullMod,先进火控回路接入舰体主反应堆，允许烽燧在高压交火中维持更锋利的射击节律。,主炮火控与射击节律强化,,graphics/hullmods/astd_arc_loop_interface.png
弧光先进目标定位系统,astd_arc_advanced_targeting_system,1,1,ARC,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.arc.ASTDArcAdvancedTargetingSystemHullMod,弧光先进目标定位系统持续修正高速目标轨迹，让列星在追击窗口中先一步点燃射线。,高速目标解算与追击锁定,,graphics/hullmods/astd_arc_loop_interface.png
弧光回路接口,astd_arc_loop_interface,3,1,ARC,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.arc.ASTDArcLoopInterfaceHullMod,,回路耦合与武装优化,,graphics/hullmods/astd_arc_loop_interface.png
弧光共享战术网络,astd_arc_shared_tactical_network,2,1,ARC,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.arc.ASTDArcSharedTacticalNetworkHullMod,战术网络把友舰遥测压入同一条弧光链路，让旗舰的辐能窗口在舰队中回响。,共享链路与辐能窗口协同,,graphics/hullmods/astd_arc_loop_interface.png
赏金难度缩放（隐藏）,astd_bounty_scaling,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.BountyScalingHullMod,内部用途：赏金敌方小幅数值缩放（由难度系数控制）。,赏金缩放（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
同调链路,astd_coherent_link,2,1,AUTOMATED,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_coherent_link.png
暗潮干扰器,astd_dark_tide_jammer,1,1,LENS,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_dark_tide_jammer.png
分布式栅格,astd_distributed_grid,2,1,AUTOMATED,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_distributed_grid.png
分布式追猎网络,astd_distributed_pursuit_network,1,1,ARC,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.arc.ASTDDistributedPursuitNetworkHullMod,分布式追猎节点把引擎与火控同步到同一拍点，迫使猎物不断暴露转向余量。,机动追击与火控链路协同,,graphics/hullmods/astd_vectorized_jet_array.png
双模式切换器,astd_dual_mode_switcher,3,0,,,,0,TRUE,FALSE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.base.ASTDDualModeSwitcherHullMod,,改装界面中移除以轮换载人 / 无人模式,,graphics/hullmods/astd_lens_array_core.png
回声发生器,astd_echo_emitter,3,1,LENS,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_echo_emitter.png
回声回落缓冲,astd_echo_reentry_buffer,3,1,LENS,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_echo_reentry_buffer.png
舰队协同中继,astd_fleet_coordination_relay,1,1,LENS,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_fleet_coordination_relay.png
无惯性机动,astd_inertialess_maneuver,2,1,AUTOMATED,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_inertialess_maneuver.png
离子化反冲蓄能器,astd_ionized_recoil_accumulator,2,1,ARC,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.arc.ASTDIonizedRecoilAccumulatorHullMod,等离子装甲护盾的附属产物。虽然使用了离子蓄能器的等离子护盾的防御效率不如星域中常规的护盾生成器，但这种独特的电容对外界压力更加敏感，使其能够在通过护盾受击时出现的能量压力，迅速释放并转化为定向能打击目标。,受击回收与反冲电弧,,graphics/hullmods/astd_ionized_recoil_accumulator.png
透镜阵列核心,astd_lens_array_core,3,1,LENS,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.lens.ASTDLensArrayCoreHullMod,透镜协议旗舰的指挥中枢，承载双模式运行时逻辑。,透镜协议旗舰指挥中枢,,graphics/hullmods/astd_lens_array_core.png
视差甲板,astd_lens_parallax_decks,3,1,LENS,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.lens.ASTDLensParallaxDecksHullMod,强化四甲板支柱：机群出库相位错位、命中铺设误差标记、返航整备承伤减免。,机群铺标记载具：错位部署 / 链路回响 / 回收重构,,graphics/hullmods/astd_lens_array_core.png
渗透潮汐,astd_lens_permeating_tide,3,1,LENS,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.lens.ASTDLensPermeatingTideHullMod,钉死高级电战支柱：本舰周围 ~2500su 涨起的电战潮汐场，场内敌舰随距离累积深水标记，本舰过载时潮汐退去清空全场标记。,电战潮汐场：涨潮叠深水标记 / 过载退潮清场,,graphics/hullmods/astd_lens_array_core.png
无人模式,astd_mode_automated,3,0,,,,0,FALSE,FALSE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.base.ASTDAutomatedModeHullMod,,由 AI 核心接管舰桥的无人作战模式,,graphics/hullmods/astd_vectorized_jet_array.png
载人模式,astd_mode_crewed,3,0,,,,0,FALSE,FALSE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.base.ASTDCrewedModeHullMod,,由乘员直接驾驶的标准作战模式,,graphics/hullmods/astd_nano_restoration_protocol.png
内部：下次切换到无人,astd_mode_next_automated,0,0,astd_hidden,,,0,FALSE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,内部状态标记。,内部状态,,graphics/hullmods/astd_arc_loop_interface.png
内部：下次切换到载人,astd_mode_next_crewed,0,0,astd_hidden,,,0,FALSE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,内部状态标记。,内部状态,,graphics/hullmods/astd_arc_loop_interface.png
纳米重构协议,astd_nano_restoration_protocol,2,1,,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.base.ASTDNanoRestorationProtocolHullMod,,战斗内装甲/结构修复,,graphics/hullmods/astd_nano_restoration_protocol.png
相位衍射盾,astd_phase_diffraction_shield,1,1,LENS,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_phase_diffraction_shield.png
相位谐振干扰,astd_phase_resonance_jamming,3,1,LENS,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_phase_resonance_jamming.png
等离子装甲护盾,astd_plasma_armor_shield,2,1,ARC,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.arc.ASTDPlasmaArmorShieldHullMod,菀星设计局-星坠独特的舰船结构设计。该舰的护盾生成器被拆散为多个微型护盾单元，分布在全舰装甲并完美集成。护盾本身会表现出类似装甲的承压特征。,装甲-护盾承压耦合,,graphics/hullmods/astd_plasma_armor_shield.png
奇点稳定器,astd_singularity_stabilizer,1,1,联制,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.base.ASTDSingularityStabilizerHullMod,舰船的峰值时间不会因时间流速的变化而加快或减慢消耗，且本舰的时间流速不会低于 100％。无法安装安全协议超驰船插。,时流锚定，免疫时流减益,,graphics/hullmods/astd_arch_stabilizer.png
测试：护盾覆盖率（隐藏）,astd_test_shield_coverage,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.AsteriaTestShieldCoverageHullMod,内部用途：在战斗中显示护盾覆盖范围调试信息。,护盾覆盖（测试）,,graphics/hullmods/astd_zero_point_compute_core.png
瞬态势能流转栈,astd_transient_potential_manifold,3,1,ARC,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.arc.ASTDTransientPotentialManifoldHullMod,,断熵脉冲池与混合槽优化,,graphics/hullmods/astd_vectorized_jet_array.png
虚粒子晶格网,astd_virtual_particle_lattice_web,3,1,ARC,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.arc.ASTDVirtualParticleLatticeWebHullMod,,命中生成防御/追击虚粒子,,graphics/hullmods/astd_arc_loop_interface.png
星坠 - 自动模式,astd_xc_001_mode_automated,3,0,ARC,,,0,FALSE,FALSE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.arc.ASTDXc001AutomatedModeHullMod,,更快更凶，系统期放电,,graphics/hullmods/astd_vectorized_jet_array.png
星坠 - 载人模式,astd_xc_001_mode_crewed,3,0,ARC,,,0,FALSE,FALSE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.arc.ASTDXc001CrewedModeHullMod,,更长作战时间与更稳护盾,,graphics/hullmods/astd_nano_restoration_protocol.png
内部：下次切换到无人,astd_xc_001_mode_next_automated,0,0,astd_hidden,,,0,FALSE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,内部状态标记。,内部状态,,graphics/hullmods/astd_arc_loop_interface.png
内部：下次切换到载人,astd_xc_001_mode_next_crewed,0,0,astd_hidden,,,0,FALSE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,内部状态标记。,内部状态,,graphics/hullmods/astd_arc_loop_interface.png
零点演算核心,astd_zero_point_compute_core,3,1,AUTOMATED,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_zero_point_compute_core.png
透镜阵列核心 - 无人模式,astd_zw_001_mode_automated,3,1,LENS,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.lens.ASTDLensAutomatedModeHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,全域拓扑态：蜂群与幽灵信号,,graphics/hullmods/astd_lens_array_core.png
透镜阵列核心 - 载人模式,astd_zw_001_mode_crewed,3,1,LENS,astd_builtin,,0,FALSE,TRUE,FALSE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.lens.ASTDLensCrewedModeHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,宏观锚定态：情报中枢与战术链路,,graphics/hullmods/astd_lens_array_core.png
内部：下次切换到无人(透镜),astd_zw_001_mode_next_automated,0,0,astd_hidden,,,0,FALSE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_lens_array_core.png
内部：下次切换到载人(透镜),astd_zw_001_mode_next_crewed,0,0,astd_hidden,,,0,FALSE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.PlaceholderHullMod,占位 Hullmod (调试用)。效果后续用脚本实现。,占位 (调试),,graphics/hullmods/astd_lens_array_core.png
